Usia (Bulan),Berat Badan (kg),Tinggi Badan (cm)
0,3.3,49.9
1,4.5,54.7
2,5.6,58.4
3,6.4,61.4
4,7,63.9
5,7.5,65.9
6,7.9,67.6
7,8.3,69.2
8,8.6,70.6
9,8.9,72
10,9.2,73.3
11,9.4,74.5
12,9.6,75.7
13,9.9,76.9
14,10.1,78
15,10.3,79.1
16,10.5,80.2
17,10.7,81.2
18,10.9,82.3
19,11.1,83.2
20,11.3,84.2
21,11.5,85.1
22,11.8,86
23,12,86.9
24,12.2,87.1 – 87.8
25,12.4,88
26,12.5,88.8
27,12.7,89.6
28,12.9,90.4
29,13.1,91.2
30,13.3,91.9
31,13.5,92.7
32,13.7,93.4
33,13.8,94.1
34,14,94.8
35,14.2,95.4
36,14.3,96.1
37,14.5,96.7
38,14.7,97.4
39,14.8,98
40,15,98.6
41,15.2,99.2
42,15.3,99.9
43,15.5,100.4
44,15.7,101
45,15.8,101.6
46,16,102.2
47,16.2,102.8
48,16.3,103.3
49,16.5,103.9
50,16.7,104.4
51,16.8,105
52,17,105.6
53,17.2,106.1
54,17.3,106.7
55,17.5,107.2
56,17.7,107.8
57,17.8,108.3
58,18,108.9
59,18.2,109.4
60,18.3,110
